BIGSdb id,
48196,Nigeria
48197,Nigeria
48198,Nigeria
48199,Nigeria
48200,Nigeria
48201,Nigeria
48202,Nigeria
48203,Nigeria
48204,Nigeria
48205,Nigeria
48206,Nigeria
48207,Nigeria
48208,Nigeria
48209,Nigeria
48210,Nigeria
48211,Nigeria
48212,Nigeria
48213,Nigeria
48214,Nigeria
48215,Nigeria
48216,Nigeria
48218,Nigeria
48219,Nigeria
48220,Nigeria
48221,Nigeria
48222,Nigeria
48223,Nigeria
48224,Nigeria
48225,Nigeria
48226,Nigeria
48227,Nigeria
48228,Nigeria
48229,Nigeria
48230,Nigeria
48231,Nigeria
48233,Nigeria
48234,Nigeria
48235,Nigeria
48236,Nigeria
48237,Nigeria
48239,Nigeria
48240,Nigeria
48241,Nigeria
48242,Nigeria
48243,Nigeria
48244,Nigeria
48245,Nigeria
48246,Nigeria
48247,Nigeria
48248,Nigeria
48420,Nigeria
48421,Nigeria
48422,Nigeria
48423,Nigeria
48249,Nigeria
48250,Nigeria
48251,Nigeria
48252,Nigeria
48168,Nigeria
48169,Nigeria
48170,Nigeria
48171,Nigeria
48172,Nigeria
48173,Nigeria
48174,Nigeria
48175,Nigeria
48176,Nigeria
48177,Nigeria
48178,Nigeria
48179,Nigeria
48180,Nigeria
48181,Nigeria
48182,Nigeria
48183,Nigeria
48184,Nigeria
48185,Nigeria
48186,Nigeria
48187,Nigeria
48188,Nigeria
48189,Nigeria
48190,Nigeria
48191,Nigeria
48192,Nigeria
48193,Nigeria
48194,Nigeria
48195,Nigeria
58660,Nigeria
58658,Nigeria
58666,Nigeria
58659,Nigeria
58676,Nigeria
58652,Nigeria
58685,Nigeria
58702,Nigeria
58584,Nigeria
58703,Nigeria
58585,Nigeria
58661,Nigeria
58586,Nigeria
58662,Nigeria
58663,Nigeria
58588,Nigeria
58664,Nigeria
58589,Nigeria
58665,Nigeria
58590,Nigeria
58591,Nigeria
58592,Nigeria
58668,Nigeria
58669,Nigeria
58670,Nigeria
58671,Nigeria
58672,Nigeria
58673,Nigeria
58674,Nigeria
58675,Nigeria
58677,Nigeria
58678,Nigeria
58679,Nigeria
58680,Nigeria
58681,Nigeria
58682,Nigeria
58683,Nigeria
58684,Nigeria
58686,Nigeria
58687,Nigeria
58688,Nigeria
58689,Nigeria
58690,Nigeria
58691,Nigeria
58692,Nigeria
58693,Nigeria
58694,Nigeria
58695,Nigeria
58696,Nigeria
58697,Nigeria
58698,Nigeria
58699,Nigeria
58700,Nigeria
58701,Nigeria
58615,Nigeria
58635,Nigeria
58642,Nigeria
58650,Nigeria
58651,Nigeria
58605,Nigeria
58606,Nigeria
58607,Nigeria
58608,Nigeria
58609,Nigeria
58616,Nigeria
58617,Nigeria
58618,Nigeria
58619,Nigeria
58620,Nigeria
58622,Nigeria
58623,Nigeria
58624,Nigeria
58625,Nigeria
58626,Nigeria
58627,Nigeria
58628,Nigeria
58630,Nigeria
58631,Nigeria
58632,Nigeria
58634,Nigeria
58636,Nigeria
58637,Nigeria
58638,Nigeria
58640,Nigeria
58641,Nigeria
58643,Nigeria
58644,Nigeria
58645,Nigeria
58646,Nigeria
58647,Nigeria
58649,Nigeria
58657,Nigeria
58653,Nigeria
58654,Nigeria
58655,Nigeria
58656,Nigeria
